block_id,residential_units,population,jobs10,jobs11,x,y
7546711,28.0,72.0,7.0,3.0,-93.2416431905673,44.9332065447304
7549222,48.0,52.0,1.0,2.0,-93.2403576933824,44.931411408989
7549202,30.0,71.0,6.0,8.0,-93.2403613938323,44.9296130580552
7544466,28.0,63.0,0.0,2.0,-93.2416271496602,44.9296135213869
7536947,30.0,68.0,5.0,12.0,-93.2416295756486,44.9278175555458
7546822,31.0,55.0,1.0,1.0,-93.2391020116684,44.9278102256133
7554038,23.0,62.0,1.0,1.0,-93.2391028430309,44.9260091710694
7544435,23.0,65.0,1.0,1.0,-93.2403576493603,44.9260127807889
7551719,0.0,0.0,1.0,0.0,-93.2282020243726,44.9331839687799
7542396,0.0,0.0,2.0,0.0,-93.22697534878,44.9313980236776
7541880,0.0,0.0,3.0,0.0,-93.2251302968824,44.9286989655281
7546799,30.0,88.0,1.0,2.0,-93.2276670020722,44.9277889374403
7544601,33.0,69.0,24.0,22.0,-93.2134039999329,44.9333534971969
7540409,32.0,68.0,4.0,5.0,-93.2133924600873,44.9315390631631
7540410,31.0,72.0,1.0,3.0,-93.2133960181344,44.9297225365446
7542626,31.0,75.0,5.0,10.0,-93.2172237990069,44.9278743235284
7540411,29.0,56.0,1.0,5.0,-93.2146760481913,44.9278971567696
7548380,0.0,0.0,0.0,0.0,-93.2238700066339,44.9296110307828
7556867,0.0,0.0,0.0,0.0,-93.2194053313914,44.9283633340934
7544695,26.0,51.0,3.0,1.0,-93.2133999942192,44.9279075033759
7547302,37.0,69.0,25.0,26.0,-93.2174343934461,44.9261514532701
7544945,32.0,63.0,2.0,2.0,-93.2197347680604,44.9297023027544
7544469,53.0,85.0,22.0,21.0,-93.2215122373303,44.9296461615051
7542006,14.0,23.0,5.0,5.0,-93.2226014473267,44.9278127762126
7556868,31.0,69.0,25.0,33.0,-93.2184607118606,44.9279103608228
7547301,0.0,0.0,6.0,6.0,-93.2206971127872,44.9301503304055
7551918,0.0,0.0,0.0,0.0,-93.2013683906332,44.9324859779575
7554298,0.0,0.0,0.0,0.0,-93.2024744281852,44.9324897250311
7554520,29.0,50.0,9.0,8.0,-93.2197667205019,44.9332898727615
7548346,35.0,76.0,5.0,5.0,-93.2225064863113,44.9333720680532
7553871,57.0,117.0,58.0,56.0,-93.2241367045336,44.9332247514509
7542180,0.0,0.0,0.0,0.0,-93.2017649835596,44.9225333585988
7554524,31.0,57.0,3.0,1.0,-93.2095639973788,44.933387896199
7551672,0.0,0.0,0.0,0.0,-93.2052639409746,44.9200178125658
7549699,0.0,0.0,0.0,0.0,-93.2212488603371,44.924213977601
7549758,30.0,80.0,0.0,1.0,-93.2095554318164,44.9225017482639
7552159,0.0,0.0,0.0,0.0,-93.2104947946232,44.9178370901557
7549248,0.0,0.0,0.0,0.0,-93.2072308722182,44.9191036846657
7542187,0.0,0.0,0.0,0.0,-93.2046924970899,44.9186727048059
7549250,0.0,0.0,255.0,0.0,-93.2016440142886,44.9076455730187
7554012,0.0,0.0,0.0,0.0,-93.2094551738204,44.9136659304595
7556649,0.0,0.0,0.0,0.0,-93.2150670098816,44.9163898089744
7552158,27.0,52.0,0.0,0.0,-93.2133963864372,44.9224693173163
7549752,23.0,35.0,20.0,14.0,-93.2158625504613,44.9226037073154
7540445,26.0,65.0,15.0,15.0,-93.2146837598087,44.9224617266113
7540446,31.0,68.0,7.0,10.0,-93.2134103333668,44.9206313011122
7552154,41.0,63.0,3.0,8.0,-93.2147277566334,44.9207476602984
7549750,72.0,102.0,0.0,3.0,-93.2176460937245,44.9206596463113
7556851,0.0,0.0,4.0,105.0,-93.2187213402432,44.9205940205274
7542573,0.0,0.0,80.0,131.0,-93.2163436465729,44.9181011417156
7554097,0.0,0.0,0.0,0.0,-93.2009229864212,44.92879911768
7540015,0.0,0.0,0.0,0.0,-93.202217035588,44.9289373558613
7540379,30.0,74.0,2.0,2.0,-93.210840979578,44.9297444693714
7552430,0.0,0.0,0.0,0.0,-93.2750485749012,44.9232950133912
7539909,29.0,57.0,1.0,3.0,-93.210846782322,44.9279294790018
7538589,31.0,86.0,5.0,4.0,-93.2760245722768,44.9205604522514
2573503,52.0,161.0,12.0,2.0,-93.2772949995653,44.9223599670302
7552427,46.0,73.0,45.0,50.0,-93.278583369851,44.9223442490065
7552424,32.0,63.0,2.0,2.0,-93.2798827593602,44.9223354583626
7554803,0.0,0.0,0.0,0.0,-93.2750886260662,44.9178481908132
7547629,40.0,65.0,9.0,27.0,-93.2785907302357,44.9205374417717
7542989,26.0,52.0,22.0,26.0,-93.2773047346455,44.9205509710105
7547674,30.0,64.0,31.0,35.0,-93.2773202239836,44.9187386403894
7545273,31.0,67.0,54.0,41.0,-93.2786029920153,44.9187303954573
7531966,42.0,78.0,16.0,21.0,-93.2850605364426,44.9168713208335
7554801,45.0,92.0,7.0,6.0,-93.2837849662021,44.9168812742729
7552428,29.0,54.0,2.0,4.0,-93.2824991235556,44.9168913389254
7523060,26.0,57.0,4.0,4.0,-93.2837825000295,44.9223079972814
7552875,25.0,65.0,1.0,2.0,-93.2863713117148,44.9222960314227
7538891,32.0,73.0,20.0,15.0,-93.2863675269666,44.9204866119127
7550510,31.0,78.0,4.0,4.0,-93.2863636337144,44.9241031797626
7555226,39.0,80.0,1.0,2.0,-93.2850698908813,44.9241123132303
7537726,0.0,0.0,0.0,0.0,-93.2744445939253,44.9178635124026
7554609,26.0,73.0,120.0,92.0,-93.2696399502838,44.9169948155772
7543176,29.0,72.0,0.0,1.0,-93.2658212959596,44.9170110804641
7531132,15.0,29.0,61.0,46.0,-93.263269618116,44.9170069998155
7545270,29.0,74.0,10.0,13.0,-93.2644203179489,44.9260448779854
7545267,13.0,40.0,0.0,2.0,-93.2685560950094,44.9260392243924
7542564,0.0,0.0,0.0,0.0,-93.2714496456826,44.9259602519293
7545266,23.0,65.0,36.0,36.0,-93.2695089075888,44.9260259193663
7554851,112.0,225.0,8.0,10.0,-93.2714674992908,44.9242077200735
