index,x,y
630,-94.016051,44.840459
631,-94.015938,45.324967
632,-94.015795,44.993864
633,-94.015747,44.737451
634,-94.015624,45.1798692
635,-94.0155911,45.2340297
636,-94.015419,44.6663559
637,-94.015378,44.937826
638,-94.0153233,45.2352538
639,-94.015208,45.303902
640,-94.014956,44.625994
641,-94.01488,44.994771
642,-94.01488,45.354738
643,-94.014818,45.35542
644,-94.0147284,45.2402012
645,-94.014702,44.57225
646,-94.0146797,45.2361344
647,-94.0146609,45.2353048
648,-94.0146474,45.2347055
649,-94.014647,45.2456049
650,-94.0146462,45.2741639
651,-94.014631,45.327127
652,-94.0145775,45.2674091
653,-94.014536,45.031194
654,-94.014527,44.622221
655,-94.014521,44.574135
656,-94.0144944,45.2371156
657,-94.014452,45.267947
658,-94.014447,45.274887
659,-94.014343,44.995071
660,-94.014164,45.361934
661,-94.014155,45.314781
662,-94.01414,45.292902
663,-94.014134,45.339861
664,-94.014125,45.359717
665,-94.014122,45.354721
666,-94.01412,45.318439
667,-94.01411,45.355738
668,-94.014087,45.357602
669,-94.014074,45.029224
670,-94.014065,45.303488
671,-94.014065,45.303898
672,-94.014062,45.309569
673,-94.014052,45.322143
674,-94.014018,45.329382
675,-94.014017,45.325664
676,-94.013815,45.061447
677,-94.0137465,45.063169
678,-94.01369,44.97127
679,-94.01367,44.816945
680,-94.0135207,44.6822692
681,-94.013479,45.13052
682,-94.013478,45.274373
683,-94.0133116,44.6822078
684,-94.013245,45.144882
685,-94.0131925,45.2371899
686,-94.0131466,45.234603
687,-94.013134,45.2338965
688,-94.0130393,45.2309205
689,-94.012964,45.380409
690,-94.012938,45.075691
691,-94.012822,45.075474
692,-94.012759,45.355998
693,-94.012661,45.1781704
694,-94.012657,44.6800941
695,-94.012657,45.210129
696,-94.0126494,44.6832273
697,-94.012572,45.195907
698,-94.0125698,44.6732423
699,-94.012564,45.134757
700,-94.012512,45.190717
701,-94.012499,45.268494
702,-94.0124757,45.062402
703,-94.0124343,44.6790793
704,-94.0123948,45.063994
705,-94.0123934,44.681555
706,-94.012361,44.949572
707,-94.0123583,45.065578
708,-94.012348,44.962194
709,-94.012324,45.131753
710,-94.01232,44.970048
711,-94.012319,45.130516
712,-94.012318,44.9255
713,-94.0123039,45.0836716
